"Table","Entity","Property","Column","Decorator","Type","Nullable","File"
"charges","Charge","chargeKind","charge_kind","Column","varchar","","backend\src\charges\charge.entity.ts"
"charges","Charge","createdAt","created_at","CreateDateColumn","","","backend\src\charges\charge.entity.ts"
"charges","Charge","id","id","PrimaryGeneratedColumn","uuid","","backend\src\charges\charge.entity.ts"
"charges","Charge","marking","marking","Column","","","backend\src\charges\charge.entity.ts"
"charges","Charge","maxUsableModules","max_usable_modules","Column","int","true","backend\src\charges\charge.entity.ts"
"charges","Charge","measurementUnit","measurement_unit","Column","","","backend\src\charges\charge.entity.ts"
"charges","Charge","moduleNote","module_note","Column","text","true","backend\src\charges\charge.entity.ts"
"charges","Charge","modulesPerCharge","modules_per_charge","Column","int","true","backend\src\charges\charge.entity.ts"
"charges","Charge","packagingType","packaging_type","Column","","","backend\src\charges\charge.entity.ts"
"charges","Charge","updatedAt","updated_at","UpdateDateColumn","","","backend\src\charges\charge.entity.ts"
"depot_charge_stock","DepotChargeStock","chargeId","charge_id","Column","uuid","","backend\src\depot-charge-stock\depot-charge-stock.entity.ts"
"depot_charge_stock","DepotChargeStock","depotId","depot_id","Column","uuid","","backend\src\depot-charge-stock\depot-charge-stock.entity.ts"
"depot_charge_stock","DepotChargeStock","id","id","PrimaryGeneratedColumn","uuid","","backend\src\depot-charge-stock\depot-charge-stock.entity.ts"
"depot_charge_stock","DepotChargeStock","quantity","quantity","Column","numeric","","backend\src\depot-charge-stock\depot-charge-stock.entity.ts"
"depot_drone_stock","DepotDroneStock","createdAt","created_at","CreateDateColumn","","","backend\src\drone-logistics\depot-drone-stock.entity.ts"
"depot_drone_stock","DepotDroneStock","depotId","depot_id","Column","uuid","","backend\src\drone-logistics\depot-drone-stock.entity.ts"
"depot_drone_stock","DepotDroneStock","droneModelId","drone_model_id","Column","uuid","","backend\src\drone-logistics\depot-drone-stock.entity.ts"
"depot_drone_stock","DepotDroneStock","id","id","PrimaryGeneratedColumn","uuid","","backend\src\drone-logistics\depot-drone-stock.entity.ts"
"depot_drone_stock","DepotDroneStock","quantity","quantity","Column","int","","backend\src\drone-logistics\depot-drone-stock.entity.ts"
"depot_drone_stock","DepotDroneStock","updatedAt","updated_at","UpdateDateColumn","","","backend\src\drone-logistics\depot-drone-stock.entity.ts"
"depot_drone_warhead_stock","DepotDroneWarheadStock","createdAt","created_at","CreateDateColumn","","","backend\src\drone-logistics\depot-drone-warhead-stock.entity.ts"
"depot_drone_warhead_stock","DepotDroneWarheadStock","depotId","depot_id","Column","uuid","","backend\src\drone-logistics\depot-drone-warhead-stock.entity.ts"
"depot_drone_warhead_stock","DepotDroneWarheadStock","id","id","PrimaryGeneratedColumn","uuid","","backend\src\drone-logistics\depot-drone-warhead-stock.entity.ts"
"depot_drone_warhead_stock","DepotDroneWarheadStock","quantity","quantity","Column","numeric","","backend\src\drone-logistics\depot-drone-warhead-stock.entity.ts"
"depot_drone_warhead_stock","DepotDroneWarheadStock","updatedAt","updated_at","UpdateDateColumn","","","backend\src\drone-logistics\depot-drone-warhead-stock.entity.ts"
"depot_drone_warhead_stock","DepotDroneWarheadStock","warheadTypeId","warhead_type_id","Column","uuid","","backend\src\drone-logistics\depot-drone-warhead-stock.entity.ts"
"depot_fuze_stock","DepotFuzeStock","depotId","depot_id","Column","uuid","","backend\src\depot-fuze-stock\depot-fuze-stock.entity.ts"
"depot_fuze_stock","DepotFuzeStock","fuzeId","fuze_id","Column","uuid","","backend\src\depot-fuze-stock\depot-fuze-stock.entity.ts"
"depot_fuze_stock","DepotFuzeStock","id","id","PrimaryGeneratedColumn","uuid","","backend\src\depot-fuze-stock\depot-fuze-stock.entity.ts"
"depot_fuze_stock","DepotFuzeStock","quantity","quantity","Column","int","","backend\src\depot-fuze-stock\depot-fuze-stock.entity.ts"
"depot_primer_stock","DepotPrimerStock","depotId","depot_id","Column","uuid","","backend\src\depot-primer-stock\depot-primer-stock.entity.ts"
"depot_primer_stock","DepotPrimerStock","id","id","PrimaryGeneratedColumn","uuid","","backend\src\depot-primer-stock\depot-primer-stock.entity.ts"
"depot_primer_stock","DepotPrimerStock","primerId","primer_id","Column","uuid","","backend\src\depot-primer-stock\depot-primer-stock.entity.ts"
"depot_primer_stock","DepotPrimerStock","quantity","quantity","Column","int","","backend\src\depot-primer-stock\depot-primer-stock.entity.ts"
"depot_shell_stock","DepotShellStock","depotId","depot_id","Column","uuid","","backend\src\depot-shell-stock\depot-shell-stock.entity.ts"
"depot_shell_stock","DepotShellStock","id","id","PrimaryGeneratedColumn","uuid","","backend\src\depot-shell-stock\depot-shell-stock.entity.ts"
"depot_shell_stock","DepotShellStock","quantity","quantity","Column","int","","backend\src\depot-shell-stock\depot-shell-stock.entity.ts"
"depot_shell_stock","DepotShellStock","shellId","shell_id","Column","uuid","","backend\src\depot-shell-stock\depot-shell-stock.entity.ts"
"depots","Depot","createdAt","created_at","CreateDateColumn","","","backend\src\depots\depot.entity.ts"
"depots","Depot","depotType","depot_type","Column","varchar","","backend\src\depots\depot.entity.ts"
"depots","Depot","id","id","PrimaryGeneratedColumn","uuid","","backend\src\depots\depot.entity.ts"
"depots","Depot","isArchived","is_archived","Column","boolean","","backend\src\depots\depot.entity.ts"
"depots","Depot","lat","lat","Column","double precision","true","backend\src\depots\depot.entity.ts"
"depots","Depot","lng","lng","Column","double precision","true","backend\src\depots\depot.entity.ts"
"depots","Depot","mgrs","mgrs","Column","varchar","true","backend\src\depots\depot.entity.ts"
"depots","Depot","name","name","Column","varchar","","backend\src\depots\depot.entity.ts"
"depots","Depot","parentId","parent_id","Column","uuid","true","backend\src\depots\depot.entity.ts"
"depots","Depot","unitId","unit_id","Column","uuid","true","backend\src\depots\depot.entity.ts"
"depots","Depot","updatedAt","updated_at","UpdateDateColumn","","","backend\src\depots\depot.entity.ts"
"drone_models","DroneModel","cameraType","camera_type","Column","","","backend\src\drone-logistics\drone-model.entity.ts"
"drone_models","DroneModel","createdAt","created_at","CreateDateColumn","","","backend\src\drone-logistics\drone-model.entity.ts"
"drone_models","DroneModel","cruiseSpeedKmh","cruise_speed_kmh","Column","integer","true","backend\src\drone-logistics\drone-model.entity.ts"
"drone_models","DroneModel","droneGroup","drone_group","Column","","","backend\src\drone-logistics\drone-model.entity.ts"
"drone_models","DroneModel","droneType","drone_type","Column","","","backend\src\drone-logistics\drone-model.entity.ts"
"drone_models","DroneModel","enduranceMinutes","endurance_minutes","Column","integer","true","backend\src\drone-logistics\drone-model.entity.ts"
"drone_models","DroneModel","id","id","PrimaryGeneratedColumn","uuid","","backend\src\drone-logistics\drone-model.entity.ts"
"drone_models","DroneModel","maxAltitudeM","max_altitude_m","Column","integer","true","backend\src\drone-logistics\drone-model.entity.ts"
"drone_models","DroneModel","maxRangeM","max_range_m","Column","integer","true","backend\src\drone-logistics\drone-model.entity.ts"
"drone_models","DroneModel","maxWindMs","max_wind_ms","Column","numeric","true","backend\src\drone-logistics\drone-model.entity.ts"
"drone_models","DroneModel","name","name","Column","","","backend\src\drone-logistics\drone-model.entity.ts"
"drone_models","DroneModel","note","note","Column","text","true","backend\src\drone-logistics\drone-model.entity.ts"
"drone_models","DroneModel","payloadCapacityKg","payload_capacity_kg","Column","numeric","true","backend\src\drone-logistics\drone-model.entity.ts"
"drone_models","DroneModel","updatedAt","updated_at","UpdateDateColumn","","","backend\src\drone-logistics\drone-model.entity.ts"
"drone_stock_movements","DroneStockMovement","airAssetFromId","air_asset_from_id","Column","uuid","true","backend\src\drone-logistics\drone-stock-movement.entity.ts"
"drone_stock_movements","DroneStockMovement","airAssetToId","air_asset_to_id","Column","uuid","true","backend\src\drone-logistics\drone-stock-movement.entity.ts"
"drone_stock_movements","DroneStockMovement","comment","comment","Column","text","true","backend\src\drone-logistics\drone-stock-movement.entity.ts"
"drone_stock_movements","DroneStockMovement","createdAt","created_at","CreateDateColumn","","","backend\src\drone-logistics\drone-stock-movement.entity.ts"
"drone_stock_movements","DroneStockMovement","createdById","created_by_id","Column","uuid","true","backend\src\drone-logistics\drone-stock-movement.entity.ts"
"drone_stock_movements","DroneStockMovement","depotFromId","depot_from_id","Column","uuid","true","backend\src\drone-logistics\drone-stock-movement.entity.ts"
"drone_stock_movements","DroneStockMovement","depotToId","depot_to_id","Column","uuid","true","backend\src\drone-logistics\drone-stock-movement.entity.ts"
"drone_stock_movements","DroneStockMovement","droneModelId","drone_model_id","Column","uuid","true","backend\src\drone-logistics\drone-stock-movement.entity.ts"
"drone_stock_movements","DroneStockMovement","id","id","PrimaryGeneratedColumn","uuid","","backend\src\drone-logistics\drone-stock-movement.entity.ts"
"drone_stock_movements","DroneStockMovement","itemType","item_type","Column","","","backend\src\drone-logistics\drone-stock-movement.entity.ts"
"drone_stock_movements","DroneStockMovement","movementType","movement_type","Column","","","backend\src\drone-logistics\drone-stock-movement.entity.ts"
"drone_stock_movements","DroneStockMovement","quantity","quantity","Column","numeric","","backend\src\drone-logistics\drone-stock-movement.entity.ts"
"drone_stock_movements","DroneStockMovement","warheadTypeId","warhead_type_id","Column","uuid","true","backend\src\drone-logistics\drone-stock-movement.entity.ts"
"drone_warhead_types","DroneWarheadType","createdAt","created_at","CreateDateColumn","","","backend\src\drone-logistics\drone-warhead-type.entity.ts"
"drone_warhead_types","DroneWarheadType","id","id","PrimaryGeneratedColumn","uuid","","backend\src\drone-logistics\drone-warhead-type.entity.ts"
"drone_warhead_types","DroneWarheadType","measureUnit","measure_unit","Column","","","backend\src\drone-logistics\drone-warhead-type.entity.ts"
"drone_warhead_types","DroneWarheadType","name","name","Column","","","backend\src\drone-logistics\drone-warhead-type.entity.ts"
"drone_warhead_types","DroneWarheadType","note","note","Column","text","true","backend\src\drone-logistics\drone-warhead-type.entity.ts"
